İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
49933-2796,31-03-2023,None,None,1 + 0,"
                          52 m2
                        ",En Üst Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,9.000 TL,,,
3640-2652,28-03-2023,None,None,2 + 1,"
                          115 m2
                        ",Giriş Katı,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,Doğalgaz,Evet,,,12.500 TL,,,
38671-251,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",4. Kat,10 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,7.000 TL,,,
80253-722,30-03-2023,None,None,1 + 1,"
                          55 m2
                        ",2. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,10.500 TL,,,
110909-435,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",En Üst Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,13.000 TL,,,
42292-1576,31-03-2023,None,None,2 + 1,"
                          82 m2
                        ",3. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,Doğu,,9.000 TL,,,
18496-2829,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",2. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,,,,Doğalgaz,,,,,,,
1358-3509,28-03-2023,None,None,2 + 1,"
                          100 m2
                        ",4. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Doğu, Batı",,70.000 TL,,,
1200-4168,30-03-2023,None,None,3 + 1,"
                          110 m2
                        ",4. Kat,45 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,600 TL,Doğalgaz,Evet,,,,,,
123488-164,29-03-2023,None,None,2 + 1,"
                          65 m2
                        ",Çatı Katı,26 Yaşında,Soba,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,,,10.000 TL,,,
125654-925,30-03-2023,None,None,1 + 0,"
                          35 m2
                        ",3. Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
692418-482,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,38 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,15.000 TL,,,
19996-3900,30-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,Doğalgaz,Evet,Batı,,9.000 TL,,,
8300-1591,30-03-2023,None,None,1 + 1,"
                          75 m2
                        ",Bahçe Katı,28 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Doğu, Batı",,30.000 TL,,,
32039-8013,24-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
