İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
134852-40,27-03-2023,None,None,2 + 1,"
                          85 m2
                        ",4. Kat,1 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,625 TL,Doğalgaz,Evet,Doğu,,3 TL,,,
114218-2017,27-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Ara Kat,7 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,Elvin Park Evleri Sitesi,24.000 TL,,,
1120-2252,28-03-2023,None,None,4 + 1,"
                          180 m2
                        ",4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Kiracılı,,,Evet,,,20.000 TL,,,
4551-28180,27-03-2023,None,None,1 + 1,"
                          55 m2
                        ",4. Kat,5 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı Değil,1,,,Boş,,,Evet,Batı,İnistanbul Topkapı,24.000 TL,,,
85708-3053,31-03-2023,None,None,2 + 1,"
                          105 m2
                        ",En Üst Kat,26 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Doğu",,16.500 TL,,,
26546-4890,26-03-2023,None,None,3 + 1,"
                          200 m2
                        ",7. Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.600 TL,Doğalgaz,Evet,"Güney, Batı",,50.000 TL,,,
5400-17754,28-03-2023,None,None,3 + 1,"
                          120 m2
                        ",1. Kat,4 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",Altıntepe Suites,30.000 TL,,,
119921-458,26-03-2023,None,None,2 + 1,"
                          111 m2
                        ",1. Kat,Sıfır Bina,Yerden Isıtma,1 Katlı,Eşyalı,2,,,Boş,2.25 TL,,,"Güney, Doğu, Batı",Nida Park Küçükyalı,,Uygun değil,,
115060-622,26-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Yüksek Giriş,21 Yaşında,Merkezi,20 Katlı,Eşyalı Değil,2,,,Boş,,,,Batı,Evet (Site Adı Belirtilmemiş),,Uygun değil,,
3270-2528,26-03-2023,None,None,3 + 1,"
                          120 m2
                        ",4. Kat,31 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,Kiracılı,350 TL,,,"Kuzey, Güney, Doğu",,,Uygun değil,,
2431-7363,27-03-2023,None,None,1 + 1,"
                          90 m2
                        ",4. Kat,4 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Doğu, Batı",,42.000 TL,,,
58568-6353,25-03-2023,None,None,2 + 1,"
                          66 m2
                        ",Yüksek Giriş,11 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Batı",,11.000 TL,,,
129636-328,25-03-2023,None,None,2 + 1,"
                          145 m2
                        ",4. Kat,Sıfır Bina,Merkezi,8 Katlı,Eşyalı Değil,1,,Sıfır,Boş,,Doğalgaz,Evet,,ahteran istanbul,,,,
128979-78,29-03-2023,None,None,2 + 1,"
                          115 m2
                        ",Yüksek Giriş,19 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,100 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",,40.000 TL,,,
6485-6259,24-03-2023,None,None,2 + 1,"
                          100 m2
                        ",Yüksek Giriş,30 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,57.000 TL,,,
134549-206,24-03-2023,None,None,1 + 0,"
                          45 m2
                        ",2. Kat,9 Yaşında,Kombi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,17.000 TL,,,
5630-6146,29-03-2023,None,None,1 + 0,"
                          40 m2
                        ",3. Kat,10 Yaşında,Kombi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Doğu,Dumankaya Adres,,,,
102872-580,29-03-2023,None,None,3 + 1,"
                          110 m2
                        ",5. Kat,26 Yaşında,Kombi,8 Katlı,Eşyalı,2,,İkinci El,Boş,500 TL,Doğalgaz,Evet,"Doğu, Batı",Evet (Site Adı Belirtilmemiş),40.000 TL,Uygun,Kat Mülkiyeti,Hayır
22150-2445,28-03-2023,None,None,1 + 1,"
                          58 m2
                        ",Ara Kat,17 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1 TL,Doğalgaz,Evet,Batı,,8.000 TL,,,
81137-8094,27-03-2023,None,None,2 + 1,"
                          117 m2
                        ",18. Kat,7 Yaşında,Merkezi (Pay Ölçer),33 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,Evet,"Güney, Doğu",,,,,
136754-1,29-03-2023,None,None,1 + 1,"
                          70 m2
                        ",12. Kat,10 Yaşında,Merkezi (Pay Ölçer),24 Katlı,,1,,,Boş,,,Evet,,Via Port Venezia Konutları,,,,
135400-66,27-03-2023,None,None,3 + 1,"
                          185 m2
                        ",4. Kat,18 Yaşında,Kombi,15 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,15.000 TL,,,
131049-180,27-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Bahçe Katı,Sıfır Bina,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,35 TL,Doğalgaz,Evet,Güney,,20.000 TL,,,
135074-61,29-03-2023,None,None,2 + 1,"
                          85 m2
                        ",9. Kat,15 Yaşında,Kombi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,9.000 TL,,,
129971-268,27-03-2023,None,None,1 + 1,"
                          55 m2
                        ",Giriş Katı,4 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,200 TL,,,Doğu,,,,,
104642-2105,26-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,60 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,Doğalgaz,Evet,"Güney, Batı",,,,,
128764-1870,30-03-2023,None,None,5 + 1,"
                          250 m2
                        ",4. Kat,50 Yaşında,Merkezi,6 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
105759-376,29-03-2023,None,None,2 + 1,"
                          130 m2
                        ",3. Kat,9 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,Evet,"Güney, Doğu",,2 TL,,,
101492-449,31-03-2023,None,None,3 + 1,"
                          115 m2
                        ",Giriş Katı,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,21.000 TL,,,
2216-6132,29-03-2023,None,None,3 + 1,"
                          220 m2
                        ",2. Kat,30 Yaşında,Merkezi,4 Katlı,Eşyalı,3,Betonarme,İkinci El,Mülk Sahibi,1.400 TL,Doğalgaz,Evet,Doğu,,,,,
134999-104,30-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,10.100 TL,,,
67193-1077,29-03-2023,None,None,3 + 1,"
                          120 m2
                        ",1. Kat,26 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,8.500 TL,,,
57705-2381,29-03-2023,None,None,2 + 1,"
                          95 m2
                        ",5. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
31383-7533,29-03-2023,None,None,3 + 1,"
                          140 m2
                        ",Bahçe Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,,,,
13729-413,29-03-2023,None,None,2 + 1,"
                          130 m2
                        ",18. Kat,2 Yaşında,Kombi,20 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,800 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,45.000 TL,,,
21171-9589,29-03-2023,None,None,4 + 2,"
                          200 m2
                        ",En Üst Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Kuzey, Güney, Doğu",,,,,
136218-45,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,,,"Kuzey, Güney",,,Uygun değil,,
136218-45,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,,,"Kuzey, Güney",,,Uygun değil,,
2908-9248,25-03-2023,None,None,2 + 1,"
                          95 m2
                        ",4. Kat,30 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Doğu, Batı",,,,,
1280-4482,28-03-2023,None,None,3 + 1,"
                          145 m2
                        ",8. Kat,24 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,150 TL,Doğalgaz,Evet,,,57.000 TL,,,
76366-53,28-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Çatı Katı,9 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,"Güney, Doğu",,25.000 TL,,,
46376-2287,30-03-2023,None,None,2 + 1,"
                          110 m2
                        ",6. Kat,30 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,2 TL,,,
129689-138,30-03-2023,None,None,1 + 1,"
                          75 m2
                        ",10. Kat,Sıfır Bina,Merkezi (Pay Ölçer),18 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,Güney,,,,,
33600-49677,30-03-2023,None,None,3 + 1,"
                          150 m2
                        ",4. Kat,31 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,600 TL,Doğalgaz,Evet,Güney,,55.000 TL,,,
130456-112,29-03-2023,None,None,3 + 1,"
                          145 m2
                        ",4. Kat,25 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,400 TL,Doğalgaz,Evet,Güney,,38.000 TL,,,
132179-34,28-03-2023,None,None,2 + 1,"
                          70 m2
                        ",Yüksek Giriş,20 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,6.500 TL,,,
124862-191,29-03-2023,None,None,5 + 2,"
                          270 m2
                        ",9. Kat,1 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Eşyalı Değil,3,Betonarme,Sıfır,Boş,500 TL,Doğalgaz,Evet,Batı,,60.000 TL,,,
33341-3806,30-03-2023,None,None,4 + 1,"
                          250 m2
                        ",Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,Doğalgaz,,,,,,,
45647-1579,25-03-2023,None,None,3 + 1,"
                          130 m2
                        ",2. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,200 TL,Doğalgaz,Evet,,,120.000 TL,,,
83175-1191,28-03-2023,None,None,3 + 1,"
                          120 m2
                        ",3. Kat,18 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,,,,
0-40545193,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Ara Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,25 TL,Doğalgaz,,"Kuzey, Doğu",,8.000 TL,,,
136915-63,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,21 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,,,,"Güney, Doğu",Aslıtürk Sitesi,,Uygun değil,,
0-40536655,28-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Ara Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Doğu, Batı",,8.500 TL,,,
92811-270,27-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,,,13.000 TL,,,
0-40535778,27-03-2023,None,None,3 + 1,"
                          162 m2
                        ",8. Kat,25 Yaşında,Kombi,15 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,330 TL,Doğalgaz,,Kuzey,,20.000 TL,,,
2328-10133,30-03-2023,None,None,3 + 1,"
                          135 m2
                        ",12. Kat,12 Yaşında,Kombi,17 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,2.200 TL,Doğalgaz,Evet,Güney,Şaşkınbakkal Residance,100.000 TL,,,
71952-2334,30-03-2023,None,None,1 + 1,"
                          49 m2
                        ",8. Kat,5 Yaşında,Merkezi (Pay Ölçer),11 Katlı,,1,,İkinci El,Boş,250 TL,,Evet,Kuzey,,12.500 TL,,,
73044-5018,31-03-2023,None,None,3 + 1,"
                          135 m2
                        ",Giriş Katı,9 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.200 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",İsthanbul Evleri Han 2 Sitesi ,30.000 TL,,,
18707-15912,29-03-2023,None,None,3 + 1,"
                          220 m2
                        ",4. Kat,45 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Kagir,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
1441-1721,29-03-2023,None,None,1 + 1,"
                          65 m2
                        ",1. Kat,7 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,Studio Life,46.000 TL,,,
118500-849,30-03-2023,None,None,3 + 1,"
                          203 m2
                        ",11. Kat,4 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Elektrik,Evet,"Kuzey, Güney, Doğu, Batı","Ağaoğlu Maslak 1453 (İstanbul, Sarıyer, Maslak)",2 TL,,,
109839-341,27-03-2023,None,None,1 + 1,"
                          75 m2
                        ",1. Kat,3 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,70 TL,Doğalgaz,Evet,,,14.000 TL,,,
110847-178,30-03-2023,None,None,3 + 2,"
                          220 m2
                        ",Çatı Katı,6 Yaşında,Kombi,5 Katlı,Eşyalı,3,Betonarme,İkinci El,Boş,,Doğalgaz,,,,50.000 TL,,,
36618-13274,28-03-2023,None,None,4 + 1,"
                          190 m2
                        ",En Üst Kat,35 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.000 TL,Doğalgaz,Evet,"Kuzey, Güney",,60.000 TL,,,
14946-12295,29-03-2023,None,None,3 + 1,"
                          155 m2
                        ",6. Kat,31 Yaşında,Merkezi,10 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,1.000 TL,Doğalgaz,Evet,Güney,,30.000 TL,,,
125563-585,26-03-2023,None,None,3 + 1,"
                          160 m2
                        ",3. Kat,5 Yaşında,Yerden Isıtma,11 Katlı,Eşyalı Değil,2,,,Mülk Sahibi,,,,,Alaçatı Evleri,,Uygun değil,,
89328-17430,30-03-2023,None,None,2 + 1,"
                          148 m2
                        ",Bahçe Katı,Sıfır Bina,Merkezi (Pay Ölçer),9 Katlı,Eşyalı,2,,,Boş,,,,"Güney, Batı",Avrupa Konutları Çamlıvadi,,Uygun değil,,
52428-2132,30-03-2023,None,None,3 + 1,"
                          125 m2
                        ",2. Kat,30 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Doğu, Batı",,,,,
81182-6146,28-03-2023,None,None,1 + 1,"
                          73 m2
                        ",Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Batı,Avrupa Konutları TEM 2 Sitesi,31.000 TL,,,
126361-622,28-03-2023,None,None,3 + 1,"
                          140 m2
                        ",3. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,19.000 TL,,,
126683-178,26-03-2023,None,None,1 + 0,"
                          55 m2
                        ",6. Kat,7 Yaşında,Kombi,24 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,585 TL,Doğalgaz,Evet,Güney,Delta Deluxe İstanbul,10.000 TL,,,
2022-68548,27-03-2023,None,None,4 + 1,"
                          225 m2
                        ",4. Kat,20 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu",,,,,
65325-831,30-03-2023,None,None,2 + 1,"
                          110 m2
                        ",2. Kat,40 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,İkinci El,Belirtilmemiş,,Doğalgaz,,Güney,,,,,
18009-3460,30-03-2023,None,None,1 + 1,"
                          60 m2
                        ",4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,,,Arsa,
108449-234,29-03-2023,None,None,2 + 1,"
                          75 m2
                        ",2. Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,"Doğu, Batı",Evet (Site Adı Belirtilmemiş),8.500 TL,,,
4596-4614,28-03-2023,None,None,3 + 1,"
                          122 m2
                        ",9. Kat,11 Yaşında,Kombi,15 Katlı,Eşyalı Değil,1,,,Boş,1.75 TL,,,"Güney, Batı",Ağaoğlu Eltes Güneşi,,Uygun değil,,
39781-4664,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,,,20.000 TL,,,
80027-1202,29-03-2023,None,None,3 + 1,"
                          170 m2
                        ",3. Kat,23 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,150 TL,Doğalgaz,Evet,,,18.000 TL,,,
31126-5001,27-03-2023,None,None,1 + 1,"
                          67 m2
                        ",9. Kat,13 Yaşında,Kombi,17 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,Doğalgaz,Evet,Güney,"Selective Kartal Evleri Sitesi (İstanbul, Kartal, Hürriyet)",22.000 TL,,,
63376-1682,30-03-2023,None,None,3 + 1,"
                          140 m2
                        ",Ara Kat,30 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,Doğalgaz,Evet,Güney,,48.000 TL,,,
129300-129,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,14.000 TL,,,
129764-490,30-03-2023,None,None,1 + 1,"
                          81 m2
                        ",3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),8 Katlı,Eşyalı,1,,,Boş,,,,Güney,,,,,
28506-4682,30-03-2023,None,None,3 + 1,"
                          160 m2
                        ",1. Kat,25 Yaşında,Merkezi,8 Katlı,,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
134368-92,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,1 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.600 TL,Doğalgaz,Evet,Güney,,20.000 TL,,,
0-40535971,28-03-2023,None,None,3 + 1,"
                          100 m2
                        ",Kot 1,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Kuzey, Güney, Doğu",,8.000 TL,,,
52428-2132,30-03-2023,None,None,3 + 1,"
                          125 m2
                        ",2. Kat,30 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Doğu, Batı",,,,,
81182-6146,28-03-2023,None,None,1 + 1,"
                          73 m2
                        ",Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Batı,Avrupa Konutları TEM 2 Sitesi,31.000 TL,,,
126361-622,28-03-2023,None,None,3 + 1,"
                          140 m2
                        ",3. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,19.000 TL,,,
126683-178,26-03-2023,None,None,1 + 0,"
                          55 m2
                        ",6. Kat,7 Yaşında,Kombi,24 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,585 TL,Doğalgaz,Evet,Güney,Delta Deluxe İstanbul,10.000 TL,,,
2022-68548,27-03-2023,None,None,4 + 1,"
                          225 m2
                        ",4. Kat,20 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu",,,,,
18009-3460,30-03-2023,None,None,1 + 1,"
                          60 m2
                        ",4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,,,Arsa,
108449-234,29-03-2023,None,None,2 + 1,"
                          75 m2
                        ",2. Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,"Doğu, Batı",Evet (Site Adı Belirtilmemiş),8.500 TL,,,
4596-4614,28-03-2023,None,None,3 + 1,"
                          122 m2
                        ",9. Kat,11 Yaşında,Kombi,15 Katlı,Eşyalı Değil,1,,,Boş,1.75 TL,,,"Güney, Batı",Ağaoğlu Eltes Güneşi,,Uygun değil,,
39781-4664,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,,,20.000 TL,,,
80027-1202,29-03-2023,None,None,3 + 1,"
                          170 m2
                        ",3. Kat,23 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,150 TL,Doğalgaz,Evet,,,18.000 TL,,,
31126-5001,27-03-2023,None,None,1 + 1,"
                          67 m2
                        ",9. Kat,13 Yaşında,Kombi,17 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,Doğalgaz,Evet,Güney,"Selective Kartal Evleri Sitesi (İstanbul, Kartal, Hürriyet)",22.000 TL,,,
63376-1682,30-03-2023,None,None,3 + 1,"
                          140 m2
                        ",Ara Kat,30 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,Doğalgaz,Evet,Güney,,48.000 TL,,,
129300-129,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,14.000 TL,,,
129764-490,30-03-2023,None,None,1 + 1,"
                          81 m2
                        ",3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),8 Katlı,Eşyalı,1,,,Boş,,,,Güney,,,,,
28506-4682,30-03-2023,None,None,3 + 1,"
                          160 m2
                        ",1. Kat,25 Yaşında,Merkezi,8 Katlı,,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
134368-92,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,1 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.600 TL,Doğalgaz,Evet,Güney,,20.000 TL,,,
0-40535971,28-03-2023,None,None,3 + 1,"
                          100 m2
                        ",Kot 1,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Kuzey, Güney, Doğu",,8.000 TL,,,
71428-1651,30-03-2023,None,None,1 + 1,"
                          55 m2
                        ",Kot 2,5 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Doğu, Batı",,,,,
133395-37,29-03-2023,None,None,1 + 1,"
                          65 m2
                        ",3. Kat,5 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,,Boş,733 TL,,,Güney,Kent Plus Sitesi,,,,
111551-1520,24-03-2023,None,None,2 + 1,"
                          115 m2
                        ",5. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,10.500 TL,,,
27328-703,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,45 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,13.000 TL,,,
2831-2525,30-03-2023,None,None,3 + 1,"
                          120 m2
                        ",3. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Kuzey, Güney, Batı",,20.000 TL,,,
126201-116,30-03-2023,None,None,3 + 1,"
                          150 m2
                        ",7. Kat,23 Yaşında,Kombi,15 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),10.000 TL,,,
7186-1432,28-03-2023,None,None,2 + 1,"
                          95 m2
                        ",6. Kat,55 Yaşında,Merkezi,9 Katlı,,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Doğu, Batı",,,,,
111551-1520,24-03-2023,None,None,2 + 1,"
                          115 m2
                        ",5. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,10.500 TL,,,
2831-2525,30-03-2023,None,None,3 + 1,"
                          120 m2
                        ",3. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Kuzey, Güney, Batı",,20.000 TL,,,
