İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
3676-6672,01-04-2023,None,None,2 + 1,                          80 m2                        ,Bahçe Katı,29 Yaşında,Yerden Isıtma,4 Katlı,Eşyalı,1,,,Boş,,,,Evet,23.000TL,,,,,
101843-1140,27-03-2023,None,None,4 + 1,                          255 m2                        ,6. Kat,10 Yaşında,Fancoil Ünitesi,30 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,120.000 TL,Doğalgaz,Evet,60.000TL,"Güney, Doğu",Mashattan Konutları,,,
73663-5439,30-03-2023,None,None,3 + 1,                          125 m2                        ,2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,30.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Doğu",,,,
2328-10124,29-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,9.000TL,"Güney, Doğu, Batı",,,,
49933-2796,31-03-2023,None,None,1 + 0,                          52 m2                        ,En Üst Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,9.000 TL,Doğalgaz,Evet,9.000TL,Doğu,,,,
38671-251,01-04-2023,None,None,1 + 1,                          60 m2                        ,4. Kat,10 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,7.000 TL,Doğalgaz,Evet,6.250TL,"Güney, Doğu",,,,
73688-831,31-03-2023,None,None,2 + 1,                          75 m2                        ,1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,9.000 TL,Doğalgaz,Evet,9.000TL,Güney,,,,
42292-1576,01-04-2023,None,None,2 + 1,                          82 m2                        ,3. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,9.000 TL,Doğalgaz,Evet,9.000TL,Doğu,,,,
18496-2829,01-04-2023,None,None,2 + 1,                          90 m2                        ,2. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,,,,,Doğalgaz,,11.000TL,,,,,
122241-225,01-04-2023,None,None,2 + 1,                          110 m2                        ,2. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,9.000 TL,Doğalgaz,Evet,9.000.000TL,,,,,
31234-78600,31-03-2023,None,None,2 + 1,                          75 m2                        ,3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,10.000 TL,Doğalgaz,,10.000TL,"Güney, Doğu",,,,
1200-4168,01-04-2023,None,None,3 + 1,                          110 m2                        ,5. Kat,45 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,600 TL,,Doğalgaz,Evet,22.000TL,,,,,
123488-164,29-03-2023,None,None,2 + 1,                          65 m2                        ,Çatı Katı,26 Yaşında,Soba,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,6.500TL,,,,,
125654-925,01-04-2023,None,None,1 + 0,                          35 m2                        ,3. Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
4245-6778,27-03-2023,None,None,2 + 1,                          90 m2                        ,Ara Kat,14 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,1.600 TL,60.000 TL,Doğalgaz,Evet,29.000TL,Batı,,,,
17993-41764,29-03-2023,None,None,2 + 1,                          80 m2                        ,En Üst Kat,35 Yaşında,Kombi,3 Katlı,,1,Betonarme,İkinci El,Boş,100 TL,40.000 TL,Doğalgaz,Evet,20.000TL,"Kuzey, Güney",,,,
31572-2503,29-03-2023,None,None,2 + 1,                          80 m2                        ,2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,12.000TL,"Doğu, Batı",,,,
18675-1013,30-03-2023,None,None,3 + 1,                          120 m2                        ,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,12.000TL,,,,,
6467-706,01-04-2023,None,None,2 + 1,                          75 m2                        ,Bahçe Katı,45 Yaşında,Doğalgaz Sobası,5 Katlı,Eşyalı Değil,1,,İkinci El,Boş,75 TL,11.000 TL,Doğalgaz,Evet,10.750TL,Güney,,,,
95585-1679,28-03-2023,None,None,1 + 1,                          55 m2                        ,3. Kat,6 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,75 TL,23.000 TL,Doğalgaz,Evet,11.500TL,"Kuzey, Güney",,,,
113402-218,29-03-2023,None,None,3 + 1,                          138 m2                        ,Yüksek Giriş,35 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,15.000 TL,Doğalgaz,Evet,12.000TL,"Kuzey, Güney, Doğu, Batı",,,,
132813-134,31-03-2023,None,None,1 + 1,                          85 m2                        ,Ara Kat,10 Yaşında,Kombi,15 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,20 TL,15.000 TL,Doğalgaz,Evet,7.500TL,"Kuzey, Güney",Rüya Nefes Evleri,,,
129481-536,01-04-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,13.000 TL,Doğalgaz,Evet,13.000TL,"Kuzey, Güney",,,,
131618-95,31-03-2023,None,None,2 + 1,                          110 m2                        ,1. Kat,27 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,10.000 TL,Doğalgaz,Evet,8.000TL,Güney,,,,
33341-4098,27-03-2023,None,None,3 + 1,                          130 m2                        ,Bahçe Katı,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,16.000TL,Güney,,,,
19996-3887,29-03-2023,None,None,4 + 1,                          145 m2                        ,Çatı Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,50.000 TL,Doğalgaz,Evet,25.000TL,"Doğu, Batı",,,,
73044-5020,01-04-2023,None,None,2 + 1,                          110 m2                        ,5. Kat,15 Yaşında,Kombi,12 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,1 TL,Doğalgaz,Evet,10.000TL,,,,,
120730-133,01-04-2023,None,None,3 + 1,                          130 m2                        ,4. Kat,22 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,,,12.500 TL,Doğalgaz,Evet,12.500TL,,,,,
9979-1387,01-04-2023,None,None,1 + 1,                          60 m2                        ,Yarı Bodrum,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,16.000 TL,Doğalgaz,,8.000TL,"Güney, Doğu, Batı",,,,
53363-3431,01-04-2023,None,None,3 + 1,                          145 m2                        ,9. Kat,22 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,,İkinci El,Boş,450 TL,22.000 TL,Doğalgaz,Evet,11.000TL,"Doğu, Batı",,,,
77099-5854,29-03-2023,None,None,2 + 1,                          85 m2                        ,Yarı Bodrum,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,35 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Güney, Doğu",,,,
81137-8092,26-03-2023,None,None,2 + 1,                          101 m2                        ,17. Kat,2 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,35.000TL,,Avangart İstanbul Rezidans,,,
119830-743,28-03-2023,None,None,3 + 1,                          120 m2                        ,3. Kat,Sıfır Bina,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Doğalgaz,,17.500TL,,Evet (Site Adı Belirtilmemiş),,,
108822-281,30-03-2023,None,None,3 + 1,                          120 m2                        ,3. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,,İkinci El,Boş,,20.000 TL,Doğalgaz,,10.000TL,,,,,
6655-2600,01-04-2023,None,None,1 + 1,                          80 m2                        ,3. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,,8.000 TL,Doğalgaz,Evet,8.000TL,,,,,
45495-2734,27-03-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,36 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,20.000 TL,Doğalgaz,Evet,13.000TL,,,,,
20825-2528,30-03-2023,None,None,1 + 1,                          81 m2                        ,15. Kat,10 Yaşında,Klima,16 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,1.200 TL,20.000 TL,Doğalgaz,Evet,10.000TL,Doğu,Mng Blueboutique,,,
692418-483,01-04-2023,None,None,2 + 1,                          110 m2                        ,2. Kat,38 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,15.000 TL,Doğalgaz,Evet,13.000TL,"Güney, Doğu, Batı",,,,
61854-1487,31-03-2023,None,None,1 + 1,                          71 m2                        ,3. Kat,3 Yaşında,Kombi,9 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1 TL,25.000 TL,Doğalgaz,,25.000TL,"Kuzey, Güney, Doğu, Batı",,,,
129423-205,29-03-2023,None,None,3 + 1,                          180 m2                        ,8. Kat,25 Yaşında,Kombi,14 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,,Evet,13.000TL,Güney,,,,
113586-513,27-03-2023,None,None,2 + 1,                          130 m2                        ,3. Kat,20 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,45.000TL,"Güney, Doğu",,,,
41836-1475,01-04-2023,None,None,3 + 1,                          155 m2                        ,1. Kat,45 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,220 TL,20.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu, Batı",,,,
135274-61,27-03-2023,None,None,2 + 1,                          130 m2                        ,6. Kat,21 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,8.500 TL,Doğalgaz,Evet,8.500TL,,,,,
136218-57,01-04-2023,None,None,2 + 1,                          85 m2                        ,1. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,11.000 TL,Doğalgaz,,11.000TL,"Kuzey, Güney",,,,
73540-9928,29-03-2023,None,None,3 + 1,                          120 m2                        ,3. Kat,4 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,70 TL,,Doğalgaz,Evet,15.500TL,"Güney, Doğu",,,,
116955-4145,28-03-2023,None,None,1 + 1,                          70 m2                        ,En Üst Kat,31 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Doğu",,,,
80027-1204,01-04-2023,None,None,3 + 1,                          110 m2                        ,Giriş Katı,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,100 TL,14.000 TL,Doğalgaz,,13.800TL,,,,,
6680-21295,01-04-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,6.500 TL,Doğalgaz,Evet,6.500TL,"Kuzey, Güney, Doğu, Batı",,,,
124165-660,31-03-2023,None,None,2 + 1,                          100 m2                        ,3. Kat,30 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,,Belirtilmemiş,500 TL,,Doğalgaz,Evet,14.000TL,Güney,,,,
13549-1444,28-03-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,45 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,12.500 TL,Doğalgaz,,12.500TL,"Doğu, Batı",,,,
122142-1446,28-03-2023,None,None,1 + 1,                          95 m2                        ,4. Kat,8 Yaşında,Kombi,17 Katlı,Eşyalı,1,Çelik,İkinci El,Boş,600 TL,15.000 TL,Doğalgaz,Evet,9.600TL,"Güney, Doğu",İstanbul Prestij Park,,,
70897-3352,27-03-2023,None,None,3 + 1,                          140 m2                        ,3. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,30.000 TL,Doğalgaz,,14.000TL,,,,,
125767-106,01-04-2023,None,None,2 + 1,                          120 m2                        ,12. Kat,10 Yaşında,Merkezi (Pay Ölçer),29 Katlı,Eşyalı,2,Betonarme,İkinci El,,670 TL,12.000 TL,Doğalgaz,Evet,6.500TL,"Güney, Doğu",Star Towers,,,
26974-418,30-03-2023,None,None,3 + 1,                          91 m2                        ,4. Kat,36 Yaşında,Kombi,5 Katlı,,1,Betonarme,,Boş,,10.000 TL,Doğalgaz,Evet,10.000TL,,,,,
89328-17484,31-03-2023,None,None,1 + 1,                          74 m2                        ,16. Kat,Sıfır Bina,Yerden Isıtma,16 Katlı,Eşyalı Değil,1,,,Boş,,,,,13.500TL,Doğu,Quattro İstanbul,Uygun değil,,
124862-393,29-03-2023,None,None,3 + 2,                          260 m2                        ,4. Kat,13 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,750 TL,66.000 TL,Doğalgaz,Evet,22.000TL,"Güney, Doğu",Flora Park Evleri Havuz Sitesi,,,
23474-33450,26-03-2023,None,None,3 + 1,                          150 m2                        ,5. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,14.000TL,,,,,
120150-621,29-03-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,,10.000TL,"Kuzey, Güney",,,,
22475-2560,01-04-2023,None,None,1 + 1,                          80 m2                        ,3. Kat,50 Yaşında,Kombi,5 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,,Doğalgaz,Evet,13.000TL,"Kuzey, Güney",,,,
70157-1267,27-03-2023,None,None,3 + 1,                          115 m2                        ,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),5 Katlı,,1,,,Boş,,,,,18.000TL,Güney,,Uygun değil,,
126083-103,31-03-2023,None,None,1 + 1,                          55 m2                        ,1. Kat,15 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,28.000 TL,Doğalgaz,Evet,14.000TL,,,,,
32918-5798,27-03-2023,None,None,3 + 1,                          135 m2                        ,4. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,,Doğalgaz,,20.000TL,Güney,,,,
47388-1584,28-03-2023,None,None,1 + 1,                          55 m2                        ,Yarı Bodrum,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,100 TL,9.000 TL,Doğalgaz,Evet,9.000TL,,,,,
44312-3593,28-03-2023,None,None,1 + 1,                          60 m2                        ,Yüksek Giriş,10 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,12.500TL,"Güney, Batı",,,,
1006-18456,31-03-2023,None,None,2 + 1,                          95 m2                        ,7. Kat,5 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,,Doğalgaz,Evet,14.000TL,,,,,
10993-786,01-04-2023,None,None,2 + 1,                          105 m2                        ,6. Kat,40 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,150 TL,11.000 TL,Doğalgaz,Evet,11.000TL,,,,,
115060-628,26-03-2023,None,None,2 + 1,                          83 m2                        ,4. Kat,3 Yaşında,Kombi,12 Katlı,Eşyalı,1,,,Boş,25 TL,,,,26.000TL,"Doğu, Batı",,Uygun değil,,
24301-10868,01-04-2023,None,None,1 + 1,                          70 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,Kagir,,Boş,,9.000 TL,Doğalgaz,Evet,9.000TL,,,,,
125691-489,31-03-2023,None,None,3 + 1,                          140 m2                        ,4. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,20.000 TL,Doğalgaz,Evet,10.000TL,,,,,
33336-1883,31-03-2023,None,None,1 + 1,                          65 m2                        ,Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,Evet,6.500TL,,,,,
26073-2813,28-03-2023,None,None,2 + 1,                          220 m2                        ,4. Kat,18 Yaşında,Kombi,4 Katlı,Eşyalı,3,Betonarme,İkinci El,Kiracılı,700 TL,44.000 TL,Doğalgaz,Evet,22.000TL,"Güney, Doğu, Batı",,,,
35838-2790,28-03-2023,None,None,2 + 1,                          100 m2                        ,3. Kat,23 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,9.000 TL,Doğalgaz,Evet,9.000TL,Güney,,,,
1739-6033,31-03-2023,None,None,2 + 1,                          110 m2                        ,Yüksek Giriş,32 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,20.000 TL,Doğalgaz,Evet,11.000TL,Batı,,,,
5632-7953,29-03-2023,None,None,3 + 1,                          140 m2                        ,5. Kat,4 Yaşında,Kombi,8 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,500 TL,90.000 TL,Doğalgaz,Evet,45.000TL,"Güney, Doğu",,,,
36118-15999,29-03-2023,None,None,4 + 1,                          250 m2                        ,2. Kat,37 Yaşında,Klima,3 Katlı,Eşyalı,2,Betonarme,İkinci El,Mülk Sahibi,1.200 TL,80.000 TL,Elektrik,Evet,40.000TL,"Güney, Doğu",,,,
50569-5000,26-03-2023,None,None,2 + 1,                          90 m2                        ,5. Kat,45 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,17.000TL,,,,,
1599-10264,26-03-2023,None,None,3 + 1,                          120 m2                        ,4. Kat,34 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,Evet,10.000TL,Güney,,,,
12889-1749,29-03-2023,None,None,2 + 1,                          80 m2                        ,2. Kat,12 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400 TL,9.000 TL,Doğalgaz,,9.000TL,"Güney, Batı",,,,
40208-2018,01-04-2023,None,None,1 + 1,                          70 m2                        ,1. Kat,5 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,27.000TL,,,,,
51359-900,31-03-2023,None,None,3 + 1,                          130 m2                        ,6. Kat,30 Yaşında,Kombi,7 Katlı,Eşyalı,2,,,Boş,450 TL,,,Evet,40.000TL,,,,,
77755-1771,01-04-2023,None,None,2 + 1,                          174 m2                        ,1. Kat,4 Yaşında,Merkezi,2 Katlı,Eşyalı,3,Betonarme,,Boş,1.542 TL,,Elektrik,Evet,34.990TL,,,,,
30486-1678,01-04-2023,None,None,1 + 1,                          65 m2                        ,Yüksek Giriş,8 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,10.000 TL,Doğalgaz,Evet,12.000TL,Batı,,,,
14946-12294,29-03-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,30 Yaşında,Doğalgaz Sobası,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,14.500TL,"Kuzey, Güney",,,,
7182-4210,26-03-2023,None,None,2 + 1,                          100 m2                        ,Yüksek Giriş,40 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
42326-320,28-03-2023,None,None,3 + 1,                          145 m2                        ,3. Kat,11 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,Boş,400 TL,,,,15.000TL,Güney,Taç Konut Yapı Kooperatifi,Uygun değil,,
18707-15913,31-03-2023,None,None,2 + 1,                          100 m2                        ,Kot 1,31 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,15.000TL,,,,,
39589-9910,28-03-2023,None,None,3 + 1,                          120 m2                        ,Yüksek Giriş,38 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,70 TL,20.000 TL,Doğalgaz,Evet,12.000TL,"Doğu, Batı",,,,
97573-337,28-03-2023,None,None,3 + 1,                          135 m2                        ,1. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,16.000 TL,Doğalgaz,Evet,8.000TL,"Kuzey, Güney, Doğu, Batı",,,,
105759-395,29-03-2023,None,None,2 + 1,                          86 m2                        ,Yüksek Giriş,11 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,1 TL,,,,28.000TL,"Güney, Doğu",,Uygun değil,,
5048-1598,28-03-2023,None,None,2 + 1,                          110 m2                        ,En Üst Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,40.000TL,,,,,
37639-659,30-03-2023,None,None,1 + 1,                          40 m2                        ,Kot 2,10 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,7.000 TL,Doğalgaz,Evet,7.000TL,Batı,,,,
132733-269,01-04-2023,None,None,1 + 1,                          83 m2                        ,5. Kat,12 Yaşında,Merkezi,12 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.200 TL,20.000 TL,Doğalgaz,Evet,10.000TL,,Aktel Rezidans,,,
121945-137,30-03-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,Sıfır Bina,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,22.000 TL,Doğalgaz,Evet,11.000TL,Güney,,,,
34800-1815,01-04-2023,None,None,2 + 1,                          90 m2                        ,4. Kat,50 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,12.000 TL,Doğalgaz,Evet,12.000TL,,,,,
115150-284,31-03-2023,None,None,2 + 1,                          80 m2                        ,3. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,20 TL,15.000 TL,Doğalgaz,Evet,15.000TL,Doğu,,,,
128504-437,31-03-2023,None,None,1 + 1,                          75 m2                        ,Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,8.500 TL,Doğalgaz,Evet,8.500TL,"Kuzey, Güney",,,,
120997-43,01-04-2023,None,None,1 + 0,                          30 m2                        ,1. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,1,,,,,,,,8.000TL,,,,,
80557-682,01-04-2023,None,None,2 + 1,                          85 m2                        ,Ara Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,35 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Güney",,,,
2207-1321,01-04-2023,None,None,3 + 1,                          130 m2                        ,5. Kat,37 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,14.000 TL,Doğalgaz,Evet,14.000TL,,,,,
77929-2582,30-03-2023,None,None,2 + 1,                          95 m2                        ,5. Kat,15 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,,İkinci El,Boş,,,Doğalgaz,Evet,25.000TL,"Kuzey, Güney",,,,
7186-1448,31-03-2023,None,None,2 + 1,                          95 m2                        ,4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,,Doğalgaz,Evet,10.000TL,"Doğu, Batı",,,,
6334-30151,30-03-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,8 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,,Doğalgaz,Evet,7.000TL,"Güney, Batı",,,,
43996-20061,01-04-2023,None,None,2 + 1,                          93 m2                        ,2. Kat,1 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,80 TL,13.000 TL,Doğalgaz,Evet,13.000TL,"Güney, Doğu, Batı",,,,
4355-132855,01-04-2023,None,None,4 + 1,                          180 m2                        ,8. Kat,15 Yaşında,Kombi,13 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,3.250 TL,80.000 TL,Doğalgaz,Evet,40.000TL,"Kuzey, Doğu, Batı",,,,
79030-562,30-03-2023,None,None,1 + 1,                          70 m2                        ,Ara Kat,2 Yaşında,Merkezi,11 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,1.440 TL,40.000 TL,Doğalgaz,Evet,18.500TL,Batı,,,,
106678-957,01-04-2023,None,None,2 + 1,                          145 m2                        ,Yüksek Giriş,27 Yaşında,Kombi,13 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,650.000 TL,,Doğalgaz,Evet,12.500TL,"Güney, Doğu, Batı",Jetkent 1 Sitesi,,,
104642-2047,26-03-2023,None,None,3 + 1,                          150 m2                        ,3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,,,,Doğalgaz,Evet,40.000TL,"Güney, Batı",,,,
4312-4728,28-03-2023,None,None,2 + 1,                          80 m2                        ,Yüksek Giriş,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,8.750 TL,Doğalgaz,Evet,9.000TL,,,,,
2022-68536,28-03-2023,None,None,2 + 1,                          160 m2                        ,Yüksek Giriş,25 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,42.500 TL,Doğalgaz,Evet,39.000TL,"Güney, Doğu",,,,
33600-49699,30-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,600 TL,60.000 TL,Doğalgaz,Evet,35.000TL,Doğu,,,,
11735-2291,01-04-2023,None,None,1 + 0,                          40 m2                        ,Ara Kat,25 Yaşında,Soba,1 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,20 TL,5.500 TL,Elektrik,Evet,5.500TL,"Kuzey, Güney",,,,
117737-222,01-04-2023,None,None,1 + 1,                          80 m2                        ,Giriş Katı,26 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,,,10.000 TL,Doğalgaz,Evet,5.000TL,"Kuzey, Doğu",,,,
