İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
77099-5868,31-03-2023,None,None,2 + 1,                          75 m2                        ,2. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,Evet,12.000TL,Güney,,,,
5400-17727,26-03-2023,None,None,3 + 1,                          110 m2                        ,2. Kat,2 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,200 TL,50.000 TL,Doğalgaz,Evet,25.000TL,"Güney, Batı",,,,
111753-962,26-03-2023,None,None,3 + 1,                          135 m2                        ,2. Kat,1 Yaşında,Merkezi,16 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,1 TL,Doğalgaz,Evet,12.000TL,"Kuzey, Güney, Doğu, Batı",,,,
52428-2132,30-03-2023,None,None,3 + 1,                          125 m2                        ,2. Kat,30 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,15.000TL,"Doğu, Batı",,,,
81182-6146,28-03-2023,None,None,1 + 1,                          73 m2                        ,Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),21 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,31.000 TL,Doğalgaz,Evet,15.500TL,Batı,Avrupa Konutları TEM 2 Sitesi,,,
126361-622,28-03-2023,None,None,3 + 1,                          140 m2                        ,3. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,19.000 TL,Doğalgaz,Evet,19.000TL,"Kuzey, Güney, Doğu, Batı",,,,
6919-1576,01-04-2023,None,None,3 + 1,                          120 m2                        ,3. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,16.000 TL,Doğalgaz,Evet,16.000TL,"Doğu, Batı",,,,
126683-178,26-03-2023,None,None,1 + 0,                          55 m2                        ,6. Kat,7 Yaşında,Kombi,24 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,585 TL,10.000 TL,Doğalgaz,Evet,5.000TL,Güney,Delta Deluxe İstanbul,,,
2022-68548,31-03-2023,None,None,4 + 1,                          225 m2                        ,4. Kat,20 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,,55.000TL,"Güney, Doğu",,,,
65325-831,30-03-2023,None,None,2 + 1,                          110 m2                        ,2. Kat,40 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,İkinci El,Belirtilmemiş,,,Doğalgaz,,12.000TL,Güney,,,,
12889-1712,29-03-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,16 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,,,,55.900 TL,Doğalgaz,Evet,27.950TL,,,,,
125898-74,30-03-2023,None,None,4 + 1,                          250 m2                        ,2. Kat,35 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,75.000TL,"Kuzey, Güney, Doğu, Batı",Ethem Zengin Sitesi,,,
4596-4614,28-03-2023,None,None,3 + 1,                          122 m2                        ,9. Kat,11 Yaşında,Kombi,15 Katlı,Eşyalı Değil,1,,,Boş,1.75 TL,,,,25.000TL,"Güney, Batı",Ağaoğlu Eltes Güneşi,Uygun değil,,
31572-2511,31-03-2023,None,None,2 + 1,                          100 m2                        ,Bahçe Katı,4 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,30.000 TL,Doğalgaz,Evet,21.000TL,"Doğu, Batı",,,,
1691-1254,30-03-2023,None,None,2 + 1,                          80 m2                        ,2. Kat,40 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,30.000 TL,Doğalgaz,Evet,18.000TL,,,,,
31126-5001,27-03-2023,None,None,1 + 1,                          67 m2                        ,9. Kat,13 Yaşında,Kombi,17 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,22.000 TL,Doğalgaz,Evet,10.850TL,Güney,"Selective Kartal Evleri Sitesi (İstanbul, Kartal, Hürriyet)",,,
81705-10678,31-03-2023,None,None,1 + 1,                          48 m2                        ,10. Kat,7 Yaşında,Merkezi,18 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,28.000 TL,Doğalgaz,Evet,13.500TL,"Kuzey, Güney",,,,
0-40566315,01-04-2023,None,None,1 + 1,                          70 m2                        ,1. Kat,27 Yaşında,Kat Kaloriferi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,10.500 TL,Doğalgaz,,10.500TL,,,,,
0-40565923,01-04-2023,None,None,3 + 1,                          110 m2                        ,1. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,6.000TL,"Kuzey, Güney, Batı",,,,
134368-92,29-03-2023,None,None,2 + 1,                          100 m2                        ,2. Kat,1 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.600 TL,20.000 TL,Doğalgaz,Evet,20.000TL,Güney,,,,
0-40535971,28-03-2023,None,None,3 + 1,                          100 m2                        ,Kot 1,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,8.000 TL,Doğalgaz,,8.000TL,"Kuzey, Güney, Doğu",,,,
71428-1651,30-03-2023,None,None,1 + 1,                          55 m2                        ,Kot 2,5 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,6.500TL,"Doğu, Batı",,,,
5970-5210,30-03-2023,None,None,4 + 1,                          160 m2                        ,8. Kat,19 Yaşında,Kombi,9 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,36.000 TL,Doğalgaz,Evet,18.000TL,"Güney, Doğu",,,,
